,Unnamed: 0,word,meaning,der
0,0,_,_,_
1,1,claim,v. 요청하다 n. 청구; 주장,claim claims claiming claimed
2,2,committed,adj. 헌신적인,commit commits committing committed
3,3,consistency,"n. 일관성, 한결같음",consistency consistencies consistencying consistencied
4,4,cover,v. 다루다; 보장하다,cover covers covering covered
5,5,coverage,n. 범위; 보상,coverage coverages coveraging coveraged
6,6,credit,"n. 신용판매, 신용 v. 입금하다",credit credits crediting credited
7,7,defect,n. 결함,defect defects defecting defected
8,8,defective,adj. 결함 있는,defective defectives defectiving defectived
9,9,demand,v. 요구하다 n. 요구; 수요,demand demands demanding demanded
10,10,description,n. 설명(서),description descriptions descriptioning descriptioned
11,11,eligibility,"n. 적격, 자격",eligibility eligibilities eligibilitying eligibilitied
12,12,exchange,v. 교환하다,exchange exchanges exchanging exchanged
13,13,expire,"v. 만료되다, 만기되다",expire expires expiring expired
14,14,expiration,"n. 만료, 만기, 종결",expiration expirations expirationing expirationed
15,15,flaw,"n. 결점, 결함",flaw flaws flawing flawed
16,16,guarantee,v. 보장하다 n. 품질 보증서,guarantee guarantees guaranteeing guaranteed
17,17,insurance,n. 보험(금),insurance insurances insurancing insuranced
18,18,malfunction,"v. 제대로 작동하지 않다 n. 고장, 기능 불량",malfunction malfunctions malfunctioning malfunctioned
19,19,perfectly,adv. 완벽하게,perfectly perfectlies perfectlying perfectlied
20,20,period,n. 기간,period periods perioding perioded
21,21,rebate,"n. (초과 지불에 대한) 환불, 환급",rebate rebates rebating rebated
22,22,receipt,n. 영수증,receipt receipts receipting receipted
23,23,refund,v. 환불하다 n. 환불(금),refund refunds refunding refunded
24,24,registration,"n. 등록, 신고",registration registrations registrationing registrationed
25,25,reliable,adj. 믿을 수 있는,reliable reliables reliabling reliabled
26,26,repair,"v. 수리[보수]하다 n. 수리, 수선",repair repairs repairing repaired
27,27,replacement,"n. 교체, 교환",replacement replacements replacementing replacemented
28,28,restock,v. 다시 채우다[보충하다],restock restocks restocking restocked
29,29,retailer,"n. 소매업체, 소매업자",retailer retailers retailerring retailerred
30,30,single,"adj. 단 하나의, 단일의",single singles singling singled
31,31,solidify,"v. 굳히다, 확고히 하다",solidify solidifies solidifying solidified
32,32,status,n. 상태; 지위,statu status statuing statued
33,33,unrivaled,adj. 경쟁자가 없는,unrivale unrivales unrivaling unrivaled
34,34,warranty,n. 품질 보증서,warranty warranties warrantying warrantied
35,35,accountable,adj. 책임이 있는,accountable accountables accountabling accountabled
36,36,apologize,v. 사과하다,apologize apologizes apologizing apologized
37,37,charge,v. 청구하다 n. 요금,charge charges charging charged
38,38,client,"n. 의뢰인, 고객",client clients clienting cliented
39,39,complaint,"n. 불만, 불평",complaint complaints complainting complainted
40,40,complain,v. 불평하다,complain complains complaining complained
41,41,compliment,v. 칭찬하다 n. 칭찬,compliment compliments complimenting complimented
42,42,consider,v. 고려하다,consider considers considering considered
